CustomerID;CompanyName;City;Country;OrderID;OrderDate;ProductName;Quantity;UnitPrice;TotalPrice
HANAR;Hanari Carnes;Rio de Janeiro;Brazil;10253;1996-07-10 00:00:00.000;Gorgonzola Telino;20;10,00;200,00
HANAR;Hanari Carnes;Rio de Janeiro;Brazil;10253;1996-07-10 00:00:00.000;Chartreuse verte;42;14,40;604,80
HANAR;Hanari Carnes;Rio de Janeiro;Brazil;10253;1996-07-10 00:00:00.000;Maxilaku;40;16,00;640,00
CHOPS;Chop-suey Chinese;Bern;Switzerland;10254;1996-07-11 00:00:00.000;Guaraná Fantástica;15;3,60;54,00
CHOPS;Chop-suey Chinese;Bern;Switzerland;10254;1996-07-11 00:00:00.000;Pâté chinois;21;19,20;403,20
CHOPS;Chop-suey Chinese;Bern;Switzerland;10254;1996-07-11 00:00:00.000;Longlife Tofu;21;8,00;168,00
RICSU;Richter Supermarkt;Geneve;Switzerland;10255;1996-07-12 00:00:00.000;Chang;20;15,20;304,00
RICSU;Richter Supermarkt;Geneve;Switzerland;10255;1996-07-12 00:00:00.000;Pavlova;35;13,90;486,50
RICSU;Richter Supermarkt;Geneve;Switzerland;10255;1996-07-12 00:00:00.000;Inlagd Sill;25;15,20;380,00
RICSU;Richter Supermarkt;Geneve;Switzerland;10255;1996-07-12 00:00:00.000;Raclette Courdavault;30;44,00;1320,00
WELLI;Wellington Importadora;Resende;Brazil;10256;1996-07-15 00:00:00.000;Perth Pasties;15;26,20;393,00
WELLI;Wellington Importadora;Resende;Brazil;10256;1996-07-15 00:00:00.000;Original Frankfurter grüne Soße;12;10,40;124,80
HILAA;HILARION-Abastos;San Cristóbal;Venezuela;10257;1996-07-16 00:00:00.000;Schoggi Schokolade;25;35,10;877,50
HILAA;HILARION-Abastos;San Cristóbal;Venezuela;10257;1996-07-16 00:00:00.000;Chartreuse verte;6;14,40;86,40
HILAA;HILARION-Abastos;San Cristóbal;Venezuela;10257;1996-07-16 00:00:00.000;Original Frankfurter grüne Soße;15;10,40;156,00
ERNSH;Ernst Handel;Graz;Austria;10258;1996-07-17 00:00:00.000;Chang;50;15,20;760,00
ERNSH;Ernst Handel;Graz;Austria;10258;1996-07-17 00:00:00.000;Chef Anton's Gumbo Mix;65;17,00;1105,00
ERNSH;Ernst Handel;Graz;Austria;10258;1996-07-17 00:00:00.000;Mascarpone Fabioli;6;25,60;153,60
CENTC;Centro comercial Moctezuma;México D.F.;Mexico;10259;1996-07-18 00:00:00.000;Sir Rodney's Scones;10;8,00;80,00
CENTC;Centro comercial Moctezuma;México D.F.;Mexico;10259;1996-07-18 00:00:00.000;Gravad lax;1;20,80;20,80
OTTIK;Ottilies Käseladen;Köln;Germany;10260;1996-07-19 00:00:00.000;Jack's New England Clam Chowder;16;7,70;123,20
OTTIK;Ottilies Käseladen;Köln;Germany;10260;1996-07-19 00:00:00.000;Ravioli Angelo;50;15,60;780,00
OTTIK;Ottilies Käseladen;Köln;Germany;10260;1996-07-19 00:00:00.000;Tarte au sucre;15;39,40;591,00
OTTIK;Ottilies Käseladen;Köln;Germany;10260;1996-07-19 00:00:00.000;Outback Lager;21;12,00;252,00
QUEDE;Que Delícia;Rio de Janeiro;Brazil;10261;1996-07-19 00:00:00.000;Sir Rodney's Scones;20;8,00;160,00
QUEDE;Que Delícia;Rio de Janeiro;Brazil;10261;1996-07-19 00:00:00.000;Steeleye Stout;20;14,40;288,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10262;1996-07-22 00:00:00.000;Chef Anton's Gumbo Mix;12;17,00;204,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10262;1996-07-22 00:00:00.000;Uncle Bob's Organic Dried Pears;15;24,00;360,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10262;1996-07-22 00:00:00.000;Gnocchi di nonna Alice;2;30,40;60,80
ERNSH;Ernst Handel;Graz;Austria;10263;1996-07-23 00:00:00.000;Pavlova;60;13,90;834,00
ERNSH;Ernst Handel;Graz;Austria;10263;1996-07-23 00:00:00.000;Guaraná Fantástica;28;3,60;100,80
ERNSH;Ernst Handel;Graz;Austria;10263;1996-07-23 00:00:00.000;Nord-Ost Matjeshering;60;20,70;1242,00
ERNSH;Ernst Handel;Graz;Austria;10263;1996-07-23 00:00:00.000;Longlife Tofu;36;8,00;288,00
FOLKO;Folk och fä HB;Bräcke;Sweden;10264;1996-07-24 00:00:00.000;Chang;35;15,20;532,00
FOLKO;Folk och fä HB;Bräcke;Sweden;10264;1996-07-24 00:00:00.000;Jack's New England Clam Chowder;25;7,70;192,50
BLONP;Blondesddsl pere et fils;Strasbourg;France;10265;1996-07-25 00:00:00.000;Alice Mutton;30;31,20;936,00
BLONP;Blondesddsl pere et fils;Strasbourg;France;10265;1996-07-25 00:00:00.000;Outback Lager;20;12,00;240,00
WARTH;Wartian Herkku;Oulu;Finland;10266;1996-07-26 00:00:00.000;Queso Manchego La Pastora;12;30,40;364,80
FRANK;Frankenversand;München;Germany;10267;1996-07-29 00:00:00.000;Boston Crab Meat;50;14,70;735,00
FRANK;Frankenversand;München;Germany;10267;1996-07-29 00:00:00.000;Raclette Courdavault;70;44,00;3080,00
FRANK;Frankenversand;München;Germany;10267;1996-07-29 00:00:00.000;Lakkalikööri;15;14,40;216,00
GROSR;GROSELLA-Restaurante;Caracas;Venezuela;10268;1996-07-30 00:00:00.000;Thüringer Rostbratwurst;10;99,00;990,00
GROSR;GROSELLA-Restaurante;Caracas;Venezuela;10268;1996-07-30 00:00:00.000;Mozzarella di Giovanni;4;27,80;111,20
WHITC;White Clover Markets;Seattle;USA;10269;1996-07-31 00:00:00.000;Geitost;60;2,00;120,00
WHITC;White Clover Markets;Seattle;USA;10269;1996-07-31 00:00:00.000;Mozzarella di Giovanni;20;27,80;556,00
WARTH;Wartian Herkku;Oulu;Finland;10270;1996-08-01 00:00:00.000;Inlagd Sill;30;15,20;456,00
WARTH;Wartian Herkku;Oulu;Finland;10270;1996-08-01 00:00:00.000;Ipoh Coffee;25;36,80;920,00
SPLIR;Split Rail Beer & Ale;Lander;USA;10271;1996-08-01 00:00:00.000;Geitost;24;2,00;48,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10272;1996-08-02 00:00:00.000;Sir Rodney's Marmalade;6;64,80;388,80
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10272;1996-08-02 00:00:00.000;Gorgonzola Telino;40;10,00;400,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10272;1996-08-02 00:00:00.000;Mozzarella di Giovanni;24;27,80;667,20
QUICK;QUICK-Stop;Cunewalde;Germany;10273;1996-08-05 00:00:00.000;Ikura;24;24,80;595,20
QUICK;QUICK-Stop;Cunewalde;Germany;10273;1996-08-05 00:00:00.000;Gorgonzola Telino;15;10,00;150,00
QUICK;QUICK-Stop;Cunewalde;Germany;10273;1996-08-05 00:00:00.000;Geitost;20;2,00;40,00
QUICK;QUICK-Stop;Cunewalde;Germany;10273;1996-08-05 00:00:00.000;Boston Crab Meat;60;14,70;882,00
QUICK;QUICK-Stop;Cunewalde;Germany;10273;1996-08-05 00:00:00.000;Lakkalikööri;33;14,40;475,20
VINET;Vins et alcools Chevalier;Reims;France;10274;1996-08-06 00:00:00.000;Flotemysost;20;17,20;344,00
VINET;Vins et alcools Chevalier;Reims;France;10274;1996-08-06 00:00:00.000;Mozzarella di Giovanni;7;27,80;194,60
MAGAA;Magazzini Alimentari Riuniti;Bergamo;Italy;10275;1996-08-07 00:00:00.000;Guaraná Fantástica;12;3,60;43,20
MAGAA;Magazzini Alimentari Riuniti;Bergamo;Italy;10275;1996-08-07 00:00:00.000;Raclette Courdavault;6;44,00;264,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10276;1996-08-08 00:00:00.000;Ikura;15;24,80;372,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10276;1996-08-08 00:00:00.000;Konbu;10;4,80;48,00
MORGK;Morgenstern Gesundkost;Leipzig;Germany;10277;1996-08-09 00:00:00.000;Rössle Sauerkraut;20;36,40;728,00
MORGK;Morgenstern Gesundkost;Leipzig;Germany;10277;1996-08-09 00:00:00.000;Tarte au sucre;12;39,40;472,80
BERGS;Berglunds snabbköp;Lulea;Sweden;10278;1996-08-12 00:00:00.000;Gula Malacca;16;15,50;248,00
BERGS;Berglunds snabbköp;Lulea;Sweden;10278;1996-08-12 00:00:00.000;Raclette Courdavault;15;44,00;660,00
BERGS;Berglunds snabbköp;Lulea;Sweden;10278;1996-08-12 00:00:00.000;Vegie-spread;8;35,10;280,80
BERGS;Berglunds snabbköp;Lulea;Sweden;10278;1996-08-12 00:00:00.000;Röd Kaviar;25;12,00;300,00
LEHMS;Lehmanns Marktstand;Frankfurt a.M.;Germany;10279;1996-08-13 00:00:00.000;Alice Mutton;15;31,20;468,00
BERGS;Berglunds snabbköp;Lulea;Sweden;10280;1996-08-14 00:00:00.000;Guaraná Fantástica;12;3,60;43,20
BERGS;Berglunds snabbköp;Lulea;Sweden;10280;1996-08-14 00:00:00.000;Pâté chinois;20;19,20;384,00
BERGS;Berglunds snabbköp;Lulea;Sweden;10280;1996-08-14 00:00:00.000;Rhönbräu Klosterbier;30;6,20;186,00
ROMEY;Romero y tomillo;Madrid;Spain;10281;1996-08-14 00:00:00.000;Teatime Chocolate Biscuits;1;7,30;7,30
ROMEY;Romero y tomillo;Madrid;Spain;10281;1996-08-14 00:00:00.000;Guaraná Fantástica;6;3,60;21,60
ROMEY;Romero y tomillo;Madrid;Spain;10281;1996-08-14 00:00:00.000;Steeleye Stout;4;14,40;57,60
ROMEY;Romero y tomillo;Madrid;Spain;10282;1996-08-15 00:00:00.000;Nord-Ost Matjeshering;6;20,70;124,20
ROMEY;Romero y tomillo;Madrid;Spain;10282;1996-08-15 00:00:00.000;Ravioli Angelo;2;15,60;31,20
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10283;1996-08-16 00:00:00.000;Genen Shouyu;20;12,40;248,00
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10283;1996-08-16 00:00:00.000;Teatime Chocolate Biscuits;18;7,30;131,40
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10283;1996-08-16 00:00:00.000;Camembert Pierrot;35;27,20;952,00
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10283;1996-08-16 00:00:00.000;Mozzarella di Giovanni;3;27,80;83,40
LEHMS;Lehmanns Marktstand;Frankfurt a.M.;Germany;10284;1996-08-19 00:00:00.000;Schoggi Schokolade;15;35,10;526,50
LEHMS;Lehmanns Marktstand;Frankfurt a.M.;Germany;10284;1996-08-19 00:00:00.000;Gula Malacca;21;15,50;325,50
LEHMS;Lehmanns Marktstand;Frankfurt a.M.;Germany;10284;1996-08-19 00:00:00.000;Camembert Pierrot;20;27,20;544,00
LEHMS;Lehmanns Marktstand;Frankfurt a.M.;Germany;10284;1996-08-19 00:00:00.000;Laughing Lumberjack Lager;5;11,20;56,00
QUICK;QUICK-Stop;Cunewalde;Germany;10285;1996-08-20 00:00:00.000;Chai;45;14,40;648,00
QUICK;QUICK-Stop;Cunewalde;Germany;10285;1996-08-20 00:00:00.000;Boston Crab Meat;40;14,70;588,00
QUICK;QUICK-Stop;Cunewalde;Germany;10285;1996-08-20 00:00:00.000;Perth Pasties;36;26,20;943,20
QUICK;QUICK-Stop;Cunewalde;Germany;10286;1996-08-21 00:00:00.000;Steeleye Stout;100;14,40;1440,00
QUICK;QUICK-Stop;Cunewalde;Germany;10286;1996-08-21 00:00:00.000;Tarte au sucre;40;39,40;1576,00
RICAR;Ricardo Adocicados;Rio de Janeiro;Brazil;10287;1996-08-22 00:00:00.000;Pavlova;40;13,90;556,00
RICAR;Ricardo Adocicados;Rio de Janeiro;Brazil;10287;1996-08-22 00:00:00.000;Sasquatch Ale;20;11,20;224,00
RICAR;Ricardo Adocicados;Rio de Janeiro;Brazil;10287;1996-08-22 00:00:00.000;Spegesild;15;9,60;144,00
REGGC;Reggiani Caseifici;Reggio Emilia;Italy;10288;1996-08-23 00:00:00.000;Tourtiere;10;5,90;59,00
REGGC;Reggiani Caseifici;Reggio Emilia;Italy;10288;1996-08-23 00:00:00.000;Scottish Longbreads;3;10,00;30,00
BSBEV;B's Beverages;London;UK;10289;1996-08-26 00:00:00.000;Aniseed Syrup;30;8,00;240,00
BSBEV;B's Beverages;London;UK;10289;1996-08-26 00:00:00.000;Wimmers gute Semmelknödel;9;26,60;239,40
COMMI;Comércio Mineiro;Sao Paulo;Brazil;10290;1996-08-27 00:00:00.000;Chef Anton's Gumbo Mix;20;17,00;340,00
COMMI;Comércio Mineiro;Sao Paulo;Brazil;10290;1996-08-27 00:00:00.000;Thüringer Rostbratwurst;15;99,00;1485,00
COMMI;Comércio Mineiro;Sao Paulo;Brazil;10290;1996-08-27 00:00:00.000;Maxilaku;15;16,00;240,00
COMMI;Comércio Mineiro;Sao Paulo;Brazil;10290;1996-08-27 00:00:00.000;Original Frankfurter grüne Soße;10;10,40;104,00
QUEDE;Que Delícia;Rio de Janeiro;Brazil;10291;1996-08-27 00:00:00.000;Konbu;20;4,80;96,00
QUEDE;Que Delícia;Rio de Janeiro;Brazil;10291;1996-08-27 00:00:00.000;Gula Malacca;24;15,50;372,00
QUEDE;Que Delícia;Rio de Janeiro;Brazil;10291;1996-08-27 00:00:00.000;Manjimup Dried Apples;2;42,40;84,80
TRADH;Tradiçao Hipermercados;Sao Paulo;Brazil;10292;1996-08-28 00:00:00.000;Sir Rodney's Marmalade;20;64,80;1296,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10293;1996-08-29 00:00:00.000;Carnarvon Tigers;12;50,00;600,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10293;1996-08-29 00:00:00.000;Guaraná Fantástica;10;3,60;36,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10293;1996-08-29 00:00:00.000;Vegie-spread;5;35,10;175,50
TORTU;Tortuga Restaurante;México D.F.;Mexico;10293;1996-08-29 00:00:00.000;Rhönbräu Klosterbier;6;6,20;37,20
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10294;1996-08-30 00:00:00.000;Chai;18;14,40;259,20
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10294;1996-08-30 00:00:00.000;Alice Mutton;15;31,20;468,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10294;1996-08-30 00:00:00.000;Ipoh Coffee;15;36,80;552,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10294;1996-08-30 00:00:00.000;Camembert Pierrot;21;27,20;571,20
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10294;1996-08-30 00:00:00.000;Rhönbräu Klosterbier;6;6,20;37,20
VINET;Vins et alcools Chevalier;Reims;France;10295;1996-09-02 00:00:00.000;Gnocchi di nonna Alice;4;30,40;121,60
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10296;1996-09-03 00:00:00.000;Queso Cabrales;12;16,80;201,60
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10296;1996-09-03 00:00:00.000;Pavlova;30;13,90;417,00
LILAS;LILA-Supermercado;Barquisimeto;Venezuela;10296;1996-09-03 00:00:00.000;Gudbrandsdalsost;15;28,80;432,00
BLONP;Blondesddsl pere et fils;Strasbourg;France;10297;1996-09-04 00:00:00.000;Chartreuse verte;60;14,40;864,00
BLONP;Blondesddsl pere et fils;Strasbourg;France;10297;1996-09-04 00:00:00.000;Mozzarella di Giovanni;20;27,80;556,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10298;1996-09-05 00:00:00.000;Chang;40;15,20;608,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10298;1996-09-05 00:00:00.000;Inlagd Sill;40;15,20;608,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10298;1996-09-05 00:00:00.000;Raclette Courdavault;30;44,00;1320,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10298;1996-09-05 00:00:00.000;Tarte au sucre;15;39,40;591,00
RICAR;Ricardo Adocicados;Rio de Janeiro;Brazil;10299;1996-09-06 00:00:00.000;Teatime Chocolate Biscuits;15;7,30;109,50
RICAR;Ricardo Adocicados;Rio de Janeiro;Brazil;10299;1996-09-06 00:00:00.000;Outback Lager;20;12,00;240,00
MAGAA;Magazzini Alimentari Riuniti;Bergamo;Italy;10300;1996-09-09 00:00:00.000;Louisiana Hot Spiced Okra;30;13,60;408,00
MAGAA;Magazzini Alimentari Riuniti;Bergamo;Italy;10300;1996-09-09 00:00:00.000;Scottish Longbreads;20;10,00;200,00
WANDK;Die Wandernde Kuh;Stuttgart;Germany;10301;1996-09-09 00:00:00.000;Boston Crab Meat;10;14,70;147,00
WANDK;Die Wandernde Kuh;Stuttgart;Germany;10301;1996-09-09 00:00:00.000;Gnocchi di nonna Alice;20;30,40;608,00
SUPRD;Supremes délices;Charleroi;Belgium;10302;1996-09-10 00:00:00.000;Alice Mutton;40;31,20;1248,00
SUPRD;Supremes délices;Charleroi;Belgium;10302;1996-09-10 00:00:00.000;Rössle Sauerkraut;28;36,40;1019,20
SUPRD;Supremes délices;Charleroi;Belgium;10302;1996-09-10 00:00:00.000;Ipoh Coffee;12;36,80;441,60
GODOS;Godos Cocina Típica;Sevilla;Spain;10303;1996-09-11 00:00:00.000;Boston Crab Meat;40;14,70;588,00
GODOS;Godos Cocina Típica;Sevilla;Spain;10303;1996-09-11 00:00:00.000;Louisiana Fiery Hot Pepper Sauce;30;16,80;504,00
GODOS;Godos Cocina Típica;Sevilla;Spain;10303;1996-09-11 00:00:00.000;Scottish Longbreads;15;10,00;150,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10304;1996-09-12 00:00:00.000;Maxilaku;30;16,00;480,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10304;1996-09-12 00:00:00.000;Raclette Courdavault;10;44,00;440,00
TORTU;Tortuga Restaurante;México D.F.;Mexico;10304;1996-09-12 00:00:00.000;Flotemysost;2;17,20;34,40
OLDWO;Old World Delicatessen;Anchorage;USA;10305;1996-09-13 00:00:00.000;Carnarvon Tigers;25;50,00;1250,00
OLDWO;Old World Delicatessen;Anchorage;USA;10305;1996-09-13 00:00:00.000;Thüringer Rostbratwurst;25;99,00;2475,00
OLDWO;Old World Delicatessen;Anchorage;USA;10305;1996-09-13 00:00:00.000;Chartreuse verte;30;14,40;432,00
ROMEY;Romero y tomillo;Madrid;Spain;10306;1996-09-16 00:00:00.000;Nord-Ost Matjeshering;10;20,70;207,00
ROMEY;Romero y tomillo;Madrid;Spain;10306;1996-09-16 00:00:00.000;Perth Pasties;10;26,20;262,00
ROMEY;Romero y tomillo;Madrid;Spain;10306;1996-09-16 00:00:00.000;Tourtiere;5;5,90;29,50
LONEP;Lonesome Pine Restaurant;Portland;USA;10307;1996-09-17 00:00:00.000;Tarte au sucre;10;39,40;394,00
LONEP;Lonesome Pine Restaurant;Portland;USA;10307;1996-09-17 00:00:00.000;Scottish Longbreads;3;10,00;30,00
ANATR;Ana Trujillo Emparedados y helados;México D.F.;Mexico;10308;1996-09-18 00:00:00.000;Gudbrandsdalsost;1;28,80;28,80
ANATR;Ana Trujillo Emparedados y helados;México D.F.;Mexico;10308;1996-09-18 00:00:00.000;Outback Lager;5;12,00;60,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10309;1996-09-19 00:00:00.000;Chef Anton's Cajun Seasoning;20;17,60;352,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10309;1996-09-19 00:00:00.000;Grandma's Boysenberry Spread;30;20,00;600,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10309;1996-09-19 00:00:00.000;Singaporean Hokkien Fried Mee;2;11,20;22,40
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10309;1996-09-19 00:00:00.000;Ipoh Coffee;20;36,80;736,00
HUNGO;Hungry Owl All-Night Grocers;Cork;Ireland;10309;1996-09-19 00:00:00.000;Flotemysost;3;17,20;51,60
THEBI;The Big Cheese;Portland;USA;10310;1996-09-20 00:00:00.000;Pavlova;10;13,90;139,00
THEBI;The Big Cheese;Portland;USA;10310;1996-09-20 00:00:00.000;Tarte au sucre;5;39,40;197,00
DUMON;Du monde entier;Nantes;France;10311;1996-09-20 00:00:00.000;Singaporean Hokkien Fried Mee;6;11,20;67,20
DUMON;Du monde entier;Nantes;France;10311;1996-09-20 00:00:00.000;Gudbrandsdalsost;7;28,80;201,60
WANDK;Die Wandernde Kuh;Stuttgart;Germany;10312;1996-09-23 00:00:00.000;Rössle Sauerkraut;4;36,40;145,60
WANDK;Die Wandernde Kuh;Stuttgart;Germany;10312;1996-09-23 00:00:00.000;Ipoh Coffee;24;36,80;883,20
WANDK;Die Wandernde Kuh;Stuttgart;Germany;10312;1996-09-23 00:00:00.000;Perth Pasties;20;26,20;524,00
WANDK;Die Wandernde Kuh;Stuttgart;Germany;10312;1996-09-23 00:00:00.000;Rhönbräu Klosterbier;10;6,20;62,00
QUICK;QUICK-Stop;Cunewalde;Germany;10313;1996-09-24 00:00:00.000;Inlagd Sill;12;15,20;182,40
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10314;1996-09-25 00:00:00.000;Mascarpone Fabioli;40;25,60;1024,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10314;1996-09-25 00:00:00.000;Escargots de Bourgogne;30;10,60;318,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10314;1996-09-25 00:00:00.000;Tarte au sucre;25;39,40;985,00
ISLAT;Island Trading;Cowes;UK;10315;1996-09-26 00:00:00.000;Sasquatch Ale;14;11,20;156,80
ISLAT;Island Trading;Cowes;UK;10315;1996-09-26 00:00:00.000;Outback Lager;30;12,00;360,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10316;1996-09-27 00:00:00.000;Jack's New England Clam Chowder;10;7,70;77,00
RATTC;Rattlesnake Canyon Grocery;Albuquerque;USA;10316;1996-09-27 00:00:00.000;Tarte au sucre;70;39,40;2758,00
LONEP;Lonesome Pine Restaurant;Portland;USA;10317;1996-09-30 00:00:00.000;Chai;20;14,40;288,00
ISLAT;Island Trading;Cowes;UK;10318;1996-10-01 00:00:00.000;Jack's New England Clam Chowder;20;7,70;154,00
ISLAT;Island Trading;Cowes;UK;10318;1996-10-01 00:00:00.000;Lakkalikööri;6;14,40;86,40
TORTU;Tortuga Restaurante;México D.F.;Mexico;10319;1996-10-02 00:00:00.000;Alice Mutton;8;31,20;249,60
TORTU;Tortuga Restaurante;México D.F.;Mexico;10319;1996-10-02 00:00:00.000;Rössle Sauerkraut;14;36,40;509,60
TORTU;Tortuga Restaurante;México D.F.;Mexico;10319;1996-10-02 00:00:00.000;Lakkalikööri;30;14,40;432,00
WARTH;Wartian Herkku;Oulu;Finland;10320;1996-10-03 00:00:00.000;Flotemysost;30;17,20;516,00
ISLAT;Island Trading;Cowes;UK;10321;1996-10-03 00:00:00.000;Steeleye Stout;10;14,40;144,00
PERIC;Pericles Comidas clásicas;México D.F.;Mexico;10322;1996-10-04 00:00:00.000;Filo Mix;20;5,60;112,00
KOENE;Königlich Essen;Brandenburg;Germany;10323;1996-10-07 00:00:00.000;Genen Shouyu;5;12,40;62,00
KOENE;Königlich Essen;Brandenburg;Germany;10323;1996-10-07 00:00:00.000;NuNuCa Nuß-Nougat-Creme;4;11,20;44,80
KOENE;Königlich Essen;Brandenburg;Germany;10323;1996-10-07 00:00:00.000;Chartreuse verte;4;14,40;57,60
SAVEA;Save-a-lot Markets;Boise;USA;10324;1996-10-08 00:00:00.000;Pavlova;21;13,90;291,90
SAVEA;Save-a-lot Markets;Boise;USA;10324;1996-10-08 00:00:00.000;Steeleye Stout;70;14,40;1008,00
SAVEA;Save-a-lot Markets;Boise;USA;10324;1996-10-08 00:00:00.000;Spegesild;30;9,60;288,00
SAVEA;Save-a-lot Markets;Boise;USA;10324;1996-10-08 00:00:00.000;Raclette Courdavault;40;44,00;1760,00
SAVEA;Save-a-lot Markets;Boise;USA;10324;1996-10-08 00:00:00.000;Vegie-spread;80;35,10;2808,00
KOENE;Königlich Essen;Brandenburg;Germany;10325;1996-10-09 00:00:00.000;Grandma's Boysenberry Spread;6;20,00;120,00
KOENE;Königlich Essen;Brandenburg;Germany;10325;1996-10-09 00:00:00.000;Konbu;12;4,80;57,60
KOENE;Königlich Essen;Brandenburg;Germany;10325;1996-10-09 00:00:00.000;Tofu;9;18,60;167,40
KOENE;Königlich Essen;Brandenburg;Germany;10325;1996-10-09 00:00:00.000;Gorgonzola Telino;4;10,00;40,00
KOENE;Königlich Essen;Brandenburg;Germany;10325;1996-10-09 00:00:00.000;Mozzarella di Giovanni;40;27,80;1112,00
BOLID;Bólido Comidas preparadas;Madrid;Spain;10326;1996-10-10 00:00:00.000;Chef Anton's Cajun Seasoning;24;17,60;422,40
BOLID;Bólido Comidas preparadas;Madrid;Spain;10326;1996-10-10 00:00:00.000;Ravioli Angelo;16;15,60;249,60
BOLID;Bólido Comidas preparadas;Madrid;Spain;10326;1996-10-10 00:00:00.000;Rhönbräu Klosterbier;50;6,20;310,00
FOLKO;Folk och fä HB;Bräcke;Sweden;10327;1996-10-11 00:00:00.000;Chang;25;15,20;380,00
FOLKO;Folk och fä HB;Bräcke;Sweden;10327;1996-10-11 00:00:00.000;Queso Cabrales;50;16,80;840,00
FOLKO;Folk och fä HB;Bräcke;Sweden;10327;1996-10-11 00:00:00.000;Nord-Ost Matjeshering;35;20,70;724,50
FOLKO;Folk och fä HB;Bräcke;Sweden;10327;1996-10-11 00:00:00.000;Escargots de Bourgogne;30;10,60;318,00
